# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "7" "-s" "2" "-p" "-a" "data/Homo_sapiens.GRCh38.111.gtf" "-o" "counts/featureCounts.txt" "alignment/SRR28420795.sorted.bam" "alignment/SRR28420796.sorted.bam" "alignment/SRR28420797.sorted.bam" "alignment/SRR28420798.sorted.bam" 
Geneid	alignment/SRR28420795.sorted.bam	alignment/SRR28420796.sorted.bam	alignment/SRR28420797.sorted.bam	alignment/SRR28420798.sorted.bam
ENSG00000279928	0	2	0	0
ENSG00000228037	0	0	0	0
ENSG00000142611	189	230	113	98
ENSG00000284616	0	0	0	0
ENSG00000157911	1667	1527	733	711
ENSG00000260972	0	0	0	0
ENSG00000224340	0	0	0	0
ENSG00000226374	0	0	0	0
ENSG00000229280	0	0	0	0
ENSG00000142655	1028	979	1162	1066
ENSG00000232596	0	0	0	0
ENSG00000235054	0	0	0	0
ENSG00000231510	0	0	0	0
ENSG00000149527	7	2	71	52
ENSG00000284739	0	0	0	0
ENSG00000171621	507	441	1057	1079
ENSG00000272235	2	0	0	0
ENSG00000284694	0	0	0	0
ENSG00000224387	0	0	0	0
ENSG00000142583	0	6	113	46
ENSG00000284674	0	0	0	0
ENSG00000224338	0	0	0	0
ENSG00000287727	0	0	0	0
ENSG00000286448	0	0	0	2
ENSG00000284703	0	0	0	0
ENSG00000226457	0	0	0	0
ENSG00000173614	572	520	292	279
ENSG00000215720	0	0	0	0
ENSG00000241326	0	0	0	0
ENSG00000233623	0	0	0	1
ENSG00000204624	2	2	2	10
ENSG00000142606	0	4	1	2
ENSG00000225931	2	0	1	2
ENSG00000171729	197	204	502	526
ENSG00000279457	240	216	410	388
ENSG00000229393	0	0	0	0
ENSG00000037637	1774	1548	1033	1093
ENSG00000287586	0	0	0	0
ENSG00000159423	487	587	598	611
ENSG00000227169	0	0	0	0
ENSG00000283356	0	0	0	0
ENSG00000157916	5285	5060	3286	3382
ENSG00000157881	1198	1149	1064	1125
ENSG00000238290	3	8	28	8
ENSG00000225387	0	0	0	0
